size,procs,ordered_mean,static_mean,speedup_static,speedup_ordered,,,n static,100
10000,2,3.364429,1.51877,2,2,,,n orderd ,50
10000,4,3.401561,0.799492,3.7993375793629,1.9781676706665,,,,
10000,6,3.404588,0.550748,5.51529919309739,1.97640889294094,,,,
10000,8,3.40075,0.433601,7.0053805226464,1.97863941777549,,,,
10000,10,3.398191,0.358116,8.48200024573043,1.98012942768667,,,,
10000,12,3.401187,0.309043,9.82885876722657,1.97838519316933,,,,
10000,14,3.409275,0.275276,11.0345253491042,1.97369176731123,,,,
10000,16,3.383209,0.225867,13.448356776333,1.98889811418686,,,,
10000,18,3.407207,0.230259,13.1918404926626,1.97488969704512,,,,
10000,20,3.382689,0.190222,15.9683948228911,1.98920385527608,,,,
10000,22,3.417999,0.202855,14.9739469078899,1.96865417456237,,,,
10000,24,3.404041,0.174734,17.3837947966624,1.97672648478676,,,,
10000,26,3.405514,0.16549,18.3548250649586,1.97587148371729,,,,
10000,28,3.406403,0.159159,19.0849402170157,1.97535582254948,,,,
10000,30,3.404045,0.152426,19.9279650453335,1.97672416198963,,,,
10000,32,3.398992,0.137521,22.087826586485,1.97966279414603,,,,
10000,34,3.394331,0.129536,23.4493885869565,1.98238121149646,,,,
10000,36,3.397312,0.126465,24.0188194362076,1.98064175442232,,,,
10000,38,3.392124,0.120823,25.1404120076476,1.98367099787626,,,,
10000,40,3.396753,0.124606,24.377156798228,1.98096770651266,,,,
10000,42,3.395929,0.120495,25.2088468401178,1.98144837539301,,,,
10000,44,3.404173,0.116803,26.0056676626456,1.97664983536383,,,,
10000,46,3.402211,0.120399,25.2289470842781,1.97778973732082,,,,
10000,48,3.393964,0.104458,29.0790556970266,1.98259557261067,,,,
