size,procs,ordered_mean,static_mean,speedup_static,speedup_ordered,,,n static,10
20000,2,14.002516,6.496404,2,2,,,n ordered,5
20000,4,16.279118,5.78718,2.24510175940614,1.7203040115564,,,,
20000,6,16.32149,4.375307,2.96957630630262,1.71583795352017,,,,
20000,8,16.198486,4.103976,3.16590740296727,1.7288672533964,,,,
20000,10,16.262189,3.714035,3.49829982754605,1.7220948545119,,,,
20000,12,16.311697,3.304065,3.93237057987661,1.7168680855217,,,,
20000,14,16.256353,2.968394,4.37704967736763,1.72271308330965,,,,
20000,16,15.210896,2.126029,6.11130327949431,1.84111652594298,,,,
20000,18,16.279946,2.078941,4.21989508730437,1.72021651668869,,,,
20000,20,15.166083,1.930793,6.72925994656082,1.84655668836838,,,,
20000,22,16.343867,2.06713,4.236145191107,1.71348873556056,,,,
20000,24,15.603775,2.274979,5.71117711416237,1.79476005005199,,,,
20000,26,15.650266,2.205006,5.89241389819347,1.78942849917056,,,,
20000,28,15.592274,2.116735,6.13813632788233,1.7960838810298,,,,
20000,30,15.639359,1.973986,6.58201628582979,1.79067645931013,,,,
20000,32,15.234513,1.70112,7.63779627539503,1.83826237176075,,,,
20000,34,15.37202,1.729489,7.51251265547222,1.82181860289019,,,,
20000,36,15.230427,1.731852,7.50226231802718,1.83875553850197,,,,
20000,38,15.333652,1.695901,7.66130098396074,1.82637717355265,,,,
20000,40,15.516418,1.689575,7.68998594321057,1.80486449901002,,,,
20000,42,15.439928,1.796346,7.23290947289665,1.8138058674885,,,,
20000,44,15.454363,1.726853,7.52398032721951,1.81211169945989,,,,
20000,46,15.383839,1.683903,7.71588862303826,1.82041894744218,,,,
20000,48,15.242118,1.582084,8.21246406638333,1.83734517735659,,,,
