size,procs,ordered_mean,static_mean,speedup_static,speedup_ordered,,,n static,10
10000,2,3.770869,1.84602,2,2,,,n ordered,5
10000,4,4.325331,1.653954,2.23225071555799,1.74362100842687,,,,
10000,6,4.399835,1.190533,3.10116561237698,1.71409564222295,,,,
10000,8,4.329818,1.023653,3.60673001495624,1.74181409010725,,,,
10000,10,4.331551,0.924323,3.99431800355503,1.74111721182551,,,,
10000,12,4.369667,0.866449,4.26111634960627,1.72592968754827,,,,
10000,14,4.336364,0.759581,4.86062710889293,1.73918471788807,,,,
10000,16,4.099151,0.628454,5.87479751899105,1.83982927196388,,,,
10000,18,4.413955,0.761949,4.84552115692783,1.70861234425815,,,,
10000,20,4.072188,0.565744,6.52599055403151,1.85201125291858,,,,
10000,22,4.376446,0.718778,5.13655120217925,1.72325626775699,,,,
10000,24,4.200433,0.598163,6.17229751756628,1.7954668006846,,,,
10000,26,4.226197,0.585828,6.30225936623036,1.7845211664293,,,,
10000,28,4.177133,0.59319,6.22404288676478,1.80548189392102,,,,
10000,30,4.248147,0.569006,6.4885783278208,1.77530061930531,,,,
10000,32,4.162257,0.534004,6.91388079490041,1.81193472676002,,,,
10000,34,4.128587,0.548708,6.72860610743784,1.82671165703908,,,,
10000,36,4.126777,0.497356,7.42333459332953,1.82751285082766,,,,
10000,38,4.086919,0.614019,6.01290839534282,1.8453358140937,,,,
10000,40,4.257918,0.576771,6.40122336247835,1.7712266887244,,,,
10000,42,4.211458,0.545265,6.77109295480179,1.79076652313759,,,,
10000,44,4.286496,0.545479,6.76843654842808,1.7594179488328,,,,
10000,46,4.245688,0.518055,7.12673364797174,1.7763288305688,,,,
10000,48,4.122028,0.524299,7.04185970219283,1.82961833349992,,,,
