size,procs,ordered_mean,speedup_ordered
20000,2,11.393796,2
20000,4,13.920306,1.63700366931589
20000,6,13.870729,1.64285467620339
20000,8,14.080234,1.61841003494686
20000,10,14.067651,1.61985764361086
20000,12,14.085697,1.61778235042256
20000,14,14.112305,1.61473210790158
20000,16,12.879612,1.76927627944072
20000,18,14.07787,1.61868180342623
20000,20,12.882058,1.76894033546503
20000,22,14.261996,1.5977842091668
20000,24,13.071924,1.74324697726211
20000,26,13.277042,1.71631542628245
20000,28,13.185538,1.72822618235221
20000,30,13.227891,1.72269275578397
20000,32,12.788068,1.78194172880532
20000,34,12.781262,1.78289060970662
20000,36,12.908985,1.76525048251276
20000,38,12.881574,1.76900679994541
20000,40,12.98035,1.75554526649898
20000,42,13.082261,1.74186954380439
20000,44,13.073659,1.74301563166058
20000,46,12.97128,1.75677280885156
20000,48,12.796907,1.78071091709895
20000,50,12.965646,1.75753618446779
20000,52,12.851306,1.77317324791737
20000,54,13.277998,1.71619185362131
20000,56,13.138377,1.73442975490808
20000,58,13.145029,1.73355205226249
20000,60,12.898761,1.76664968053908
20000,62,12.863106,1.77154662334276
20000,64,12.671676,1.7983092370733
20000,66,12.872227,1.77029134119527
20000,68,12.775972,1.78362883074572
20000,70,12.692504,1.79535826815576
20000,72,12.818102,1.7777664743189
20000,74,12.714883,1.79219832380683
20000,76,12.93334,1.76192630828541
20000,78,12.736669,1.78913277875087
20000,80,12.738871,1.7888235150509
20000,82,12.679424,1.79721034646369
20000,84,12.919583,1.76380243851524
20000,86,12.769716,1.78450264673075
20000,88,13.210788,1.72492299475247
20000,90,13.078342,1.74239150497823
20000,92,13.142422,1.73389592877173
20000,94,13.328956,1.70963067174954
20000,96,13.188332,1.72786005083888
20000,98,13.110518,1.73811530558899
20000,100,13.1895,1.72770703969066
20000,102,13.15102,1.73276232565991
20000,104,13.300094,1.71334067262983
20000,106,13.43683,1.69590535862997
20000,108,13.361997,1.70540316690686
20000,110,13.523146,1.685080675754
20000,112,13.472494,1.69141600656864
20000,114,13.521606,1.68527259261955
20000,116,13.479224,1.69057150470977
20000,118,13.578074,1.67826394229402
20000,120,13.666455,1.66741060501791
20000,122,13.684622,1.66519703649834
20000,124,13.717123,1.66125156127856
20000,126,13.978932,1.6301382680737
20000,128,14.00792,1.62676485873706
20000,130,14.025781,1.62469327020007
20000,132,13.976138,1.63046415254343
20000,134,13.855149,1.64470205264483
20000,136,13.763342,1.65567287363781
20000,138,13.95107,1.63339385437819
20000,140,13.869122,1.64304503197823
20000,142,13.968676,1.63133513870606
20000,144,13.82278,1.64855347477136
20000,146,13.824921,1.64829817110709
20000,146,13.824921,1.64829817110709
20000,148,13.919365,1.63711433675315
20000,150,13.87194,1.64271125740163
20000,152,14.070089,1.61957696216421
20000,154,14.001379,1.62752483166122
20000,156,13.785805,1.65297507109668
20000,158,13.911565,1.63803224151992
20000,160,13.94688,1.63388456773128
20000,162,13.791863,1.65224901088417
20000,164,13.901401,1.63922988769261
20000,166,13.825568,1.64822103511407
20000,168,13.871023,1.64281985546416
20000,170,13.955555,1.63286891850593
20000,172,13.617863,1.67336035029872
20000,174,13.693306,1.66414100437104
20000,176,13.741946,1.65825073101
20000,178,13.615278,1.67367805490274
20000,180,13.695827,1.66383468482772
20000,182,13.720657,1.66082367630063
20000,184,13.973697,1.63074897072693
20000,186,13.961342,1.63219209156254
20000,188,13.903215,1.63901601176419
20000,190,13.78689,1.65284498534477
20000,192,13.688448,1.66473160434258
20000,194,13.653605,1.66897987747558
20000,196,13.781974,1.65343455153812
20000,198,13.691633,1.66434434811392
20000,200,13.949581,1.63356820538194
20000,202,13.769291,1.65495754283935
20000,204,13.732091,1.65944079455926
20000,206,13.653024,1.66905090037196
20000,208,13.608949,1.67445641834649
20000,210,13.434048,1.69625655647501
20000,212,13.523465,1.68504092701094
20000,214,13.608304,1.67453578344517
20000,216,13.631897,1.67163763047799
20000,218,13.715567,1.66144002650419
20000,220,13.786759,1.65286069046394
20000,222,13.869931,1.64294919707964
20000,224,13.762384,1.65578812508065
20000,226,13.885464,1.64111130891989
20000,228,13.776515,1.65408973169194
20000,230,13.81079,1.6499846858869
20000,232,13.937486,1.63498582168979
20000,234,13.917129,1.63737736425379
20000,236,13.729575,1.65974489377858
20000,238,13.910977,1.63810147914126
20000,240,13.823036,1.64852294387427
20000,242,13.85387,1.64485389281118
20000,244,13.860091,1.64411561222794
20000,246,14.147011,1.61077078401932
20000,248,13.849566,1.64536506053692
20000,250,13.783255,1.65328088321663
20000,252,13.970554,1.63111584551336
20000,254,14.001622,1.62749658575271
20000,256,14.061933,1.62051632588493
